seismoacoustic,genergy,gplus,gdenergy,gdpuls,bumps,bumps2,hazard,shift,predictions,distances
0,30130,82,65,57,3,3,0,0,-1,-2.561024592204742
1,29470,347,-14,22,0,0,1,1,1,4.251322162230132
0,14720,33,-70,-79,1,0,0,0,1,1.4495359329291198
0,15760,318,89,89,0,0,0,0,1,1.755219061554783
0,8280,30,-27,-25,0,0,0,0,1,2.0373619291626213
0,5480,236,-20,37,0,0,0,0,1,1.587492341865314
1,1312110,1471,24,2,1,0,0,1,-1,-3.286435808528651
0,178220,371,13,7,2,2,0,1,1,3.5578963502136247
0,55730,387,-89,-87,3,2,0,1,-1,-0.44301880374721136
1,28780,1294,-18,26,0,0,0,1,1,1.831130303319501
0,74470,655,148,28,0,0,0,1,1,2.0863099361544855
0,15840,436,27,74,0,0,0,0,1,1.7048198025999248
0,314100,904,-41,-37,0,0,0,1,1,1.3944160483902373
1,11500,35,13,-30,0,0,1,0,1,2.4089595309896836
0,1400,51,-88,-78,0,0,0,0,1,0.22529841451973454
0,12350,296,101,21,0,0,0,1,1,2.106857442109593
1,362360,575,122,93,4,2,1,1,-1,-0.601241940503801
1,6220,111,52,40,0,0,1,0,1,3.221146745727559
1,34050,68,38,13,0,0,0,0,1,3.096520797045091
0,5470,237,-56,-5,0,0,0,0,1,1.9016996180501167
1,9350,44,-20,10,0,0,0,0,1,2.5325500642194037
1,2960,49,-62,-34,0,0,0,0,1,1.7683139135345627
0,3770,50,-47,-40,0,0,0,0,1,1.8132105599164738
0,157450,418,-33,-31,0,0,0,0,1,2.888941576765614
1,40140,417,19,35,6,2,0,1,-1,-0.2667271308365571
1,10320,172,4,-51,0,0,0,0,1,2.6566212733442853
0,4140,186,-67,-26,0,0,0,0,1,1.749613685518458
1,44010,961,167,109,1,1,1,1,1,4.37865798389177
0,9070,28,1,-30,0,0,0,0,1,2.114801435415739
1,37110,484,17,-3,1,0,0,1,1,6.182795825459699
0,56960,200,-70,-58,0,0,0,0,1,1.6557006467972322
0,20500,717,82,157,0,0,0,1,-1,-0.0002417705698682937
0,2540,19,12,-52,0,0,0,0,1,1.6069413315085015
0,6860,282,-45,13,0,0,0,0,1,1.8700419386377902
0,446210,1030,-40,-32,0,0,0,1,1,0.48122204347028585
0,43350,611,37,40,0,0,0,1,1,3.1489244944213652
0,13610,262,46,-19,0,0,0,0,1,2.6505693915433177
0,2580,115,-77,-49,0,0,0,0,1,1.2637492756272195
1,48020,688,61,33,0,0,0,1,1,5.329839744473691
1,254510,417,61,35,2,2,0,1,1,3.5298489535226274
0,30000,631,-9,17,2,1,0,1,1,5.741747808856175
1,26860,319,5,-37,0,0,0,1,1,3.608231576190594
0,424650,1069,1,7,2,0,0,1,1,3.8240181951201
1,17960,780,-38,0,0,0,1,1,1,3.7755670501834437
0,4080,19,73,-52,0,0,0,0,1,0.2612641250255301
0,18210,150,-54,-51,3,1,0,1,1,2.376264372094127
0,9680,139,14,-48,1,1,0,0,1,3.0293446514774907
0,26280,404,-13,-18,0,0,0,1,1,2.8820859535286125
