seismoacoustic_max,genergy_max,gplus_max,gdenergy_max,gdpuls_max,bumps_max,bumps2_max,seismoacoustic_min,genergy_min,gplus_min,gdenergy_min,gdpuls_min,bumps_min,bumps2_min,hazard,shift
1,248900,1038,85,69,1,1,1,6360,233,-71,-47,0,0,1,1
1,69450,1525,253,185,2,1,1,23800,350,82,52,0,0,1,1
2,111380,1155,148,75,2,1,2,52510,886,23,34,0,0,1,1
1,309010,1375,86,120,4,3,1,23050,202,-33,-32,2,1,1,1
1,814170,2082,-39,27,2,1,1,814170,2082,-39,27,2,1,1,1
0,49480,1067,76,44,0,0,0,8820,131,-14,-49,0,0,0,1
0,302440,1315,33,11,4,3,0,107100,1003,-28,-21,2,2,0,1
1,197620,639,120,17,0,0,1,19810,168,13,-42,0,0,0,1
0,166180,448,11,-16,2,1,0,7870,87,-77,-88,1,1,0,1
0,1034700,2037,33,37,1,0,0,620720,1484,-1,-6,0,0,0,1
0,77740,797,220,95,2,2,0,20750,329,69,1,1,1,0,1
1,232470,935,28,24,3,2,1,18580,121,-57,-59,2,2,0,1
1,226790,879,29,47,0,0,1,12180,254,-30,-7,0,0,0,1
0,144880,361,-2,-47,2,0,0,2880,47,-78,-85,1,0,0,1
0,446210,1411,37,37,1,0,0,71650,687,-53,-44,0,0,0,1
0,154470,643,47,67,5,1,0,25650,157,-31,-42,3,1,0,1
0,106610,694,46,68,6,3,0,46740,335,-3,13,5,2,0,1
0,79240,1381,163,58,1,0,0,15470,283,33,-14,0,0,0,1
0,675030,2102,12,6,4,2,0,509190,1758,-45,-23,2,1,0,1
0,42280,375,-17,-6,5,3,0,19420,157,-41,-45,3,3,0,1
1,46580,465,-16,-20,1,0,1,3560,83,-79,-68,0,0,0,1
1,190960,1651,121,88,2,0,1,38360,754,29,27,1,0,0,1
0,166700,414,-22,-28,0,0,0,5600,74,-79,-82,0,0,0,1
1,132520,1174,28,52,2,1,1,14370,155,-45,-39,1,1,0,1
1,1096910,2387,89,71,2,2,1,273200,1471,-17,-19,1,0,0,1
0,140890,361,-19,3,4,2,0,13830,141,-58,-81,2,1,0,1
0,325750,1092,103,120,1,0,0,11440,284,0,46,0,0,0,1
1,254510,1282,144,72,3,2,1,22640,326,1,-1,2,2,0,1
0,104340,1269,237,166,1,0,0,28000,377,115,68,0,0,0,1
1,240350,1301,94,57,5,3,1,31510,274,-22,-42,4,2,0,1
1,66520,843,118,80,0,0,1,15710,308,13,7,0,0,0,1
0,278230,1409,4,46,1,1,0,38530,675,-41,-35,1,1,0,1
0,447360,1352,-32,-19,3,1,0,87700,588,-58,-59,2,0,0,1
1,169370,722,7,-5,1,0,1,10220,171,-64,-51,0,0,0,1
1,200350,1668,43,26,2,0,1,28780,902,-39,-40,0,0,0,1
0,557230,1973,20,17,2,0,0,332180,1069,-38,-60,0,0,0,1
0,270040,794,37,50,2,2,0,23650,212,-28,-33,2,2,0,1
0,172120,733,48,16,0,0,0,7100,150,-64,-53,0,0,0,1
1,1061760,1807,23,6,3,0,1,436650,1232,-50,-28,0,0,0,1
0,90330,913,98,94,5,2,0,31040,248,-35,-27,3,2,0,1
0,60420,636,68,53,2,1,0,15290,242,-22,-28,1,1,0,1
0,149050,697,53,40,1,0,0,10080,172,-54,-40,1,0,0,1
1,111510,751,-5,2,3,1,1,9590,158,-57,-64,1,0,0,1
1,239660,770,92,57,2,0,1,16940,218,-22,-28,1,0,0,1
0,1062280,1982,9,-4,2,1,0,682910,1434,-36,-34,1,0,0,1
1,59240,941,15,56,3,1,1,39690,342,5,21,2,1,0,1
1,42930,565,54,35,6,2,1,34960,341,-27,-11,5,1,0,1
1,90090,1439,244,166,1,0,1,22710,458,88,73,0,0,0,1
0,768080,2124,92,37,2,2,0,320110,1447,-24,-22,1,1,0,1
1,328050,776,124,95,2,1,1,25080,244,43,0,1,1,0,1
0,95050,860,20,37,3,0,0,19680,144,-44,-26,2,0,0,1
0,395110,1157,161,72,3,0,0,38400,555,46,21,2,0,0,1
0,59210,224,-54,-51,0,0,0,37490,175,-70,-61,0,0,0,0
0,69440,266,47,42,0,0,0,8030,221,31,30,0,0,0,0
1,15570,44,-16,-15,0,0,1,7970,29,-33,-28,0,0,0,0
0,10730,300,7,-7,0,0,0,7360,205,-5,-16,0,0,0,0
1,14190,408,62,30,0,0,1,14040,384,49,29,0,0,0,0
1,23040,482,201,103,0,0,1,23040,482,201,103,0,0,0,0
0,20730,48,-31,-37,1,1,0,4050,34,-39,-46,1,1,0,0
0,3420,16,13,-60,0,0,0,2700,13,-5,-68,0,0,0,0
1,6340,18,10,-70,2,1,1,6340,18,10,-70,2,1,0,0
0,65100,222,-68,-57,1,0,0,38820,172,-82,-75,1,0,0,0
1,18400,109,-68,-60,0,0,1,2410,46,-79,-69,0,0,0,0
0,38450,343,26,85,1,0,0,38450,343,26,85,1,0,0,0
0,29290,235,-20,24,1,1,0,29290,235,-20,24,1,1,0,0
0,13250,53,-64,-72,0,0,0,920,9,-75,-79,0,0,0,0
0,23440,514,151,59,1,0,0,23440,514,151,59,1,0,0,0
1,10900,176,34,4,1,1,1,10900,176,34,4,1,1,0,0
1,58230,383,19,30,0,0,1,9450,279,1,12,0,0,0,0
0,99160,514,-34,4,1,0,0,99160,514,-34,4,1,0,0,0
0,11190,32,15,-20,0,0,0,2890,27,1,-32,0,0,0,0
1,315650,645,-33,-9,1,0,1,315650,645,-33,-9,1,0,0,0
1,52000,134,64,97,0,0,1,5630,98,44,86,0,0,0,0
0,41950,136,-39,-36,1,0,0,6760,135,-41,-39,1,0,0,0
0,17730,134,97,-38,0,0,0,6150,25,97,-38,0,0,0,0
0,7040,41,-8,-26,2,1,0,6040,37,-13,-33,2,1,0,0
1,12120,24,-54,-49,1,1,1,12120,24,-54,-49,1,1,0,0
0,270490,865,83,78,0,0,0,270490,865,83,78,0,0,0,0
0,7080,344,-40,15,0,0,0,5280,237,-58,-5,0,0,0,0
0,22470,386,102,26,1,1,0,18890,307,98,19,1,1,0,0
1,92520,169,-73,-74,1,0,1,92520,169,-73,-74,1,0,0,0
0,6760,50,-34,-32,0,0,0,1340,21,-47,-48,0,0,0,0
1,39280,726,214,190,0,0,1,39280,726,214,190,0,0,0,0
1,28210,83,8,30,1,0,1,24750,62,-1,28,1,0,0,0
0,43650,345,38,94,0,0,0,26780,334,18,90,0,0,0,0
0,24900,262,-57,-24,0,0,0,3120,159,-75,-30,0,0,0,0
0,18250,67,95,68,0,0,0,18250,67,95,68,0,0,0,0
0,39510,204,12,40,1,0,0,39510,204,12,40,1,0,0,0
0,48990,342,-14,6,1,0,0,9030,171,-27,-8,1,0,0,0
1,17390,720,89,136,0,0,1,17390,720,89,136,0,0,0,0
0,3040,63,-34,38,0,0,0,1820,55,-43,26,0,0,0,0
1,53380,108,-13,-8,3,2,1,53380,108,-13,-8,3,2,0,0
0,11390,89,47,94,1,1,0,11390,89,47,94,1,1,0,0
1,9980,329,-20,18,0,0,1,5820,238,-37,-2,0,0,0,0
0,384230,751,4,6,3,1,0,384230,751,4,6,3,1,0,0
0,23220,177,-49,-40,0,0,0,1400,25,-68,-50,0,0,0,0
1,432690,1012,30,50,0,0,1,432690,1012,30,50,0,0,0,0
0,18600,29,60,-42,0,0,0,3680,22,44,-45,0,0,0,0
1,49910,208,61,61,1,0,1,49910,208,61,61,1,0,0,0
1,20040,409,60,69,0,0,1,14970,402,39,61,0,0,0,0
1,44790,60,98,20,0,0,1,19420,57,74,-3,0,0,0,0
0,22200,685,153,130,1,0,0,22200,685,153,130,1,0,0,0
1,7560,133,-34,-47,1,0,1,7560,133,-34,-47,1,0,0,0
0,17700,174,-70,-79,1,0,0,5770,33,-86,-89,1,0,0,0
0,41340,89,42,12,0,0,0,4290,45,41,12,0,0,0,0
0,11730,59,-53,-88,1,1,0,6530,38,-72,-92,1,1,0,0
1,15210,141,22,-38,1,1,1,9430,123,21,-60,1,1,0,0
1,36380,222,-23,-2,1,0,1,22270,53,-32,-17,1,0,0,0
1,10070,325,0,3,0,0,1,6690,163,-15,-10,0,0,0,0
1,17670,255,130,56,0,0,1,17670,255,130,56,0,0,0,0
0,251120,624,1,1,0,0,0,251120,624,1,1,0,0,0,0
0,19560,659,123,121,1,1,0,19560,659,123,121,1,1,0,0
0,10690,297,-5,19,0,0,0,8690,262,-14,15,0,0,0,0
1,11130,126,-47,-40,3,1,1,11130,126,-47,-40,3,1,0,0
0,20740,510,66,104,0,0,0,20740,510,66,104,0,0,0,0
1,18800,207,-40,-14,0,0,1,4500,67,-58,-29,0,0,0,0
1,32830,85,34,50,0,0,1,6790,67,33,31,0,0,0,0
0,6040,112,-44,-24,2,1,0,6040,112,-44,-24,2,1,0,0
1,13200,505,6,102,1,0,1,13200,505,6,102,1,0,0,0
1,12260,413,31,32,1,1,1,12260,413,31,32,1,1,0,0
1,15300,29,-19,-45,0,0,1,7990,20,-34,-50,0,0,0,0
1,348780,723,-23,4,1,1,1,348780,723,-23,4,1,1,0,0
0,46380,133,14,-9,1,0,0,6070,46,6,-16,1,0,0,0
0,19260,55,99,38,0,0,0,5050,53,97,32,0,0,0,0
1,21780,944,136,209,0,0,1,21780,944,136,209,0,0,0,0
0,5900,63,-30,-71,1,0,0,5900,63,-30,-71,1,0,0,0
1,22610,242,193,30,0,0,1,22610,242,193,30,0,0,0,0
0,10250,257,-11,-24,0,0,0,7160,141,-28,-34,0,0,0,0
0,6220,76,-18,-65,0,0,0,1620,10,-36,-75,0,0,0,0
0,11800,185,63,14,0,0,0,11800,185,63,14,0,0,0,0
0,53250,163,-19,-23,0,0,0,5030,121,-40,-36,0,0,0,0
0,280830,689,94,39,1,0,0,280830,689,94,39,1,0,0,0
0,14020,262,50,-19,0,0,0,12170,226,30,-30,0,0,0,0
0,13520,363,8,53,0,0,0,9540,339,3,45,0,0,0,0
0,117040,328,-48,-45,1,0,0,39620,195,-65,-53,1,0,0,0
1,10520,72,46,1,1,0,1,10520,72,46,1,1,0,0,0
0,74570,308,-41,-35,2,0,0,74570,308,-41,-35,2,0,0,0
0,11780,252,14,-28,1,1,0,5440,126,-18,-48,1,1,0,0
0,3380,17,37,-58,0,0,0,2680,14,24,-65,0,0,0,0
0,9260,274,-23,16,0,0,0,4310,172,-34,1,0,0,0,0
0,146840,744,-68,-46,1,0,0,146840,744,-68,-46,1,0,0,0
1,175660,363,76,79,0,0,1,155540,251,74,72,0,0,0,0
1,24150,364,176,90,1,0,1,24150,364,176,90,1,0,0,0
0,6980,37,-10,-79,1,1,0,6430,30,-33,-81,1,1,0,0
0,75670,207,18,4,1,1,0,75670,207,18,4,1,1,0,0
1,2560,38,-49,-14,2,1,1,2560,38,-49,-14,2,1,0,0
0,157450,418,-33,-31,0,0,0,129740,306,-39,-44,0,0,0,0
0,160350,828,-31,23,0,0,0,160350,828,-31,23,0,0,0,0
0,22710,84,-54,-61,0,0,0,1180,14,-65,-71,0,0,0,0
0,8910,347,-22,-7,0,0,0,5640,209,-47,-21,0,0,0,0
0,6980,85,12,-48,0,0,0,2340,17,-7,-58,0,0,0,0
0,28020,51,16,-2,0,0,0,2610,37,2,-14,0,0,0,0
1,48650,168,-47,-47,0,0,1,4230,24,-63,-62,0,0,0,0
0,64930,273,-27,-33,1,0,0,53320,203,-35,-39,1,0,0,0
0,20040,777,99,123,0,0,0,20040,777,99,123,0,0,0,0
0,8510,104,32,-32,0,0,0,3430,19,19,-52,0,0,0,0
1,20840,52,-14,10,0,0,1,9350,43,-20,-3,0,0,0,0
0,6320,32,11,-38,1,0,0,6320,32,11,-38,1,0,0,0
0,114540,488,-23,0,2,0,0,114540,488,-23,0,2,0,0,0
0,28710,454,207,40,1,0,0,28710,454,207,40,1,0,0,0
1,58410,162,97,95,0,0,1,4890,78,84,88,0,0,0,0
1,147400,189,55,33,1,1,1,147400,189,55,33,1,1,0,0
0,4200,186,62,85,0,0,0,3540,74,54,74,0,0,0,0
0,414700,900,69,63,0,0,0,414700,900,69,63,0,0,0,0
0,203850,476,-14,-27,1,0,0,144520,407,-34,-32,1,0,0,0
0,9550,51,-86,-73,0,0,0,1400,24,-94,-82,0,0,0,0
0,22300,60,14,28,0,0,0,3460,47,-5,17,0,0,0,0
1,56120,222,100,89,1,0,1,56120,222,100,89,1,0,0,0
0,27200,402,118,61,0,0,0,27200,402,118,61,0,0,0,0
1,31290,117,-52,-32,0,0,1,2960,26,-62,-41,0,0,0,0
0,25280,158,-54,-34,1,0,0,4580,70,-72,-50,1,0,0,0
1,13120,50,-73,-72,0,0,1,1200,15,-87,-81,0,0,0,0
0,39890,66,69,39,1,1,0,39890,66,69,39,1,1,0,0
0,9430,127,-47,-17,0,0,0,1910,39,-52,-24,0,0,0,0
0,7570,69,69,67,1,0,0,7570,69,69,67,1,0,0,0
1,11240,554,22,82,0,0,1,11240,554,22,82,0,0,0,0
0,218630,645,-11,14,1,0,0,218630,645,-11,14,1,0,0,0
1,14390,424,34,39,0,0,1,12300,329,34,36,0,0,0,0
0,209760,919,46,89,0,0,0,209760,919,46,89,0,0,0,0
0,71840,255,54,28,1,0,0,71840,255,54,28,1,0,0,0
0,18040,317,95,43,0,0,0,18040,317,95,43,0,0,0,0
1,21510,290,72,16,1,0,1,21510,290,72,16,1,0,0,0
1,5250,66,-49,36,0,0,1,5250,66,-49,36,0,0,0,0
