gdenergy_max,gdpuls_max,gdenergy_min,gdpuls_min
-15,-13,-82,-69
46,53,-12,-14
58,18,-6,-30
61,18,-6,-38
-26,-23,-82,-72
-40,-24,-83,-61
51,18,-6,-22
-17,26,-68,-19
-7,-47,-45,-90
-6,26,-58,-11
-48,-24,-83,-65
15,-19,-23,-48
55,74,3,31
-19,-5,-59,-29
-50,-24,-82,-47
20,9,-5,-28
130,88,60,43
37,-38,-4,-82
-19,-9,-52,-32
19,46,-6,12
-49,-46,-83,-69
4,19,-27,-11
56,52,30,27
-18,-30,-49,-53
44,-30,-4,-65
-28,26,-68,-7
22,-28,-10,-58
4,19,-26,-11
-49,-24,-82,-45
82,63,47,33
-36,-56,-59,-90
-27,16,-68,-7
-40,-35,-63,-56
18,2,-5,-28
83,67,54,39
37,-30,-4,-65
44,-42,0,-82
-35,-40,-60,-65
65,38,31,15
0,15,-27,-11
46,20,14,-10
-24,-31,-47,-53
95,74,54,43
-31,-17,-52,-42
52,20,17,-10
97,95,74,65
19,35,-6,14
-40,-55,-60,-78
37,-51,-3,-82
95,74,60,43
-18,-29,-42,-53
-13,15,-32,-11
20,5,-2,-22
55,69,30,31
-61,-46,-83,-65
101,24,65,-3
-38,-13,-58,-34
16,2,-5,-28
-6,10,-27,-11
11,-20,-15,-41
75,39,44,15
15,69,-4,35
-14,-38,-35,-61
46,20,23,-10
75,33,44,15
-17,-29,-42,-50
75,39,49,15
4,-16,-23,-38
-64,-46,-83,-65
20,9,-3,-7
-20,26,-45,4
-18,-58,-43,-79
95,74,60,47
37,-51,13,-65
-27,-17,-52,-33
-37,-13,-58,-35
82,67,54,39
-40,-50,-60,-65
69,74,27,49
-10,19,-37,-3
30,-28,6,-42
-30,-38,-48,-53
-21,-22,-40,-37
56,51,30,26
16,-6,-5,-22
110,43,86,13
-40,-47,-58,-65
1,6,-23,-11
27,10,4,-5
30,-28,-1,-38
-64,-50,-83,-65
39,74,10,49
-19,6,-37,-9
-40,-69,-70,-92
-9,8,-27,-11
82,67,49,39
12,-44,-14,-65
-8,-19,-23,-39
-39,-31,-59,-50
46,20,28,-10
47,51,30,26
37,-30,12,-65
-30,15,-51,-4
-46,-35,-63,-51
37,51,30,26
7,-16,-9,-35
-15,-58,-38,-79
15,-6,-5,-22
-64,-67,-79,-85
69,69,38,49
-27,-21,-46,-37
15,53,-4,33
65,33,44,15
14,-45,-4,-65
-10,27,-31,8
-52,-38,-72,-54
-30,15,-51,-6
-3,6,-23,-11
61,-38,44,-45
-33,-50,-57,-65
99,54,69,29
37,-42,13,-65
-3,-19,-23,-35
46,26,28,1
-39,-34,-63,-53
14,-45,-14,-65
95,70,75,43
-14,-47,-35,-61
19,33,-4,12
-61,-50,-83,-64
-8,-16,-23,-35
87,24,67,-3
-26,1,-44,-12
18,-65,-3,-82
81,-12,50,-22
-40,-13,-58,-32
-46,-20,-75,-35
65,61,49,49
-45,-69,-70,-92
15,53,-4,35
99,43,75,26
14,-45,-8,-58
-27,6,-48,-10
-40,-51,-55,-64
-2,6,-23,-11
110,26,98,0
-58,-42,-74,-57
83,74,60,47
44,-30,19,-45
-5,27,-21,10
14,-38,-10,-58
95,74,83,65
-19,-36,-38,-48
6,36,-12,22
-57,-64,-81,-80
-3,-65,-24,-85
47,42,31,26
-59,-24,-82,-43
20,12,0,-2
69,74,49,49
-26,-59,-54,-79
-32,6,-59,-10
-43,-47,-62,-65
-19,-9,-40,-26
-7,-19,-23,-39
99,43,86,26
19,23,-4,12
-64,-65,-85,-79
37,-51,17,-65
-18,-59,-38,-79
81,1,58,-20
9,11,-9,-11
-36,-17,-52,-34
-11,53,-34,35
-10,8,-27,-11
37,10,14,-10
-40,-78,-70,-92
-28,26,-46,4
7,-16,-9,-33
-57,-24,-82,-40
-32,1,-59,-14
14,-48,-4,-65
69,67,49,49
16,-4,6,-22
-40,-35,-59,-53
-19,-9,-35,-22
20,9,5,-9
-40,-78,-67,-92
82,54,69,39
-40,-50,-58,-64
11,-25,-7,-42
-45,15,-68,-7
12,53,-4,40
18,-65,-10,-85
-36,1,-59,-14
110,20,72,0
-51,-59,-60,-72
1,6,-17,-11
-5,-32,-14,-47
30,-30,19,-42
-46,-14,-59,-35
-21,-6,-40,-25
27,10,14,-4
-26,-59,-45,-79
83,74,60,57
-48,-59,-60,-72
-9,8,-27,-8
-11,37,-21,23
-9,-26,-28,-45
-57,-24,-75,-34
55,74,27,49
9,6,-6,-11
41,36,28,18
-28,26,-45,9
-21,-9,-40,-22
95,79,62,65
-35,-43,-54,-59
6,22,-11,9
87,24,65,-3
11,-28,-7,-42
-37,6,-59,-10
65,38,44,15
18,-65,4,-82
-77,-65,-87,-72
95,79,74,65
-21,-7,-40,-22
-24,-58,-38,-79
-27,-23,-42,-40
27,74,10,69
-59,-24,-82,-40
-20,16,-38,-2
20,9,5,-10
26,-48,12,-62
15,-25,-3,-40
69,74,54,49
-20,16,-38,4
-45,-61,-66,-78
6,18,-11,6
-21,-9,-40,-24
-47,-31,-61,-45
-70,-65,-85,-74
14,-42,-4,-55
19,35,6,18
-25,-47,-35,-61
-20,53,-34,37
97,95,79,87
-8,-16,-27,-32
16,-5,-4,-22
-60,-51,-82,-64
-27,-21,-42,-33
18,-60,-3,-82
-4,23,-20,11
75,47,69,39
87,24,65,8
-62,-50,-83,-64
-20,23,-38,6
5,-35,-12,-47
56,23,37,1
-26,-21,-41,-33
19,33,-2,17
-11,36,-12,35
-42,-40,-57,-55
15,-14,-2,-28
69,74,60,57
-2,-7,-19,-22
-7,-68,-18,-85
65,38,41,15
14,-42,4,-55
-37,6,-51,-6
28,10,14,-1
-21,-25,-35,-37
-53,-78,-70,-92
-54,-24,-68,-41
39,74,27,66
-25,-48,-40,-65
4,11,-13,-6
-45,-69,-64,-78
-46,-20,-63,-34
46,18,28,-10
-7,-22,-23,-38
10,36,-12,27
-26,-21,-42,-33
87,24,65,1
-28,16,-38,4
16,-2,-4,-16
39,69,38,66
-65,-72,-76,-85
-18,-65,-38,-79
15,6,-3,-7
-68,-39,-83,-51
8,-45,-8,-58
-28,26,-45,4
87,24,72,8
-11,-26,-23,-38
-48,-50,-63,-61
95,78,83,65
5,-52,-4,-65
-18,12,-34,-3
-17,-35,-30,-49
-46,-23,-61,-35
11,-28,-1,-42
14,22,-4,12
55,52,30,49
-6,4,-23,-11
-14,-50,-35,-65
99,43,86,29
-64,-46,-83,-63
63,-10,37,-22
-23,53,-34,37
-22,-5,-40,-20
15,-16,6,-28
-24,-69,-45,-90
9,11,-9,-6
-62,-24,-82,-40
97,95,74,79
-34,-38,-48,-50
-36,6,-51,-6
-29,26,-45,11
81,-20,77,-20
-26,-1,-38,-11
56,38,41,23
-48,-50,-58,-62
16,-8,6,-22
-15,10,-30,-5
56,23,44,15
69,74,62,63
-29,-19,-46,-31
-33,-55,-49,-64
15,40,12,35
-28,-6,-40,-20
56,33,44,18
-30,-16,-41,-29
-64,-64,-81,-74
5,-45,-14,-65
19,33,-4,17
74,1,63,-12
-25,-47,-35,-60
-43,26,-68,13
46,10,17,1
1,4,-14,-11
-7,-71,-15,-85
16,-4,7,-14
-58,-48,-70,-61
-26,-2,-43,-16
-2,-38,-18,-58
12,69,-4,40
75,24,65,16
110,20,98,0
-21,-7,-40,-19
-58,-52,-68,-61
34,36,28,20
37,-58,33,-65
54,89,46,85
2,-35,-12,-47
15,-14,6,-22
-2,6,-15,-6
-33,-71,-45,-90
-39,-40,-54,-53
-11,53,-34,27
41,36,28,20
-46,-23,-59,-35
-5,-35,-12,-47
-72,-65,-85,-76
16,-4,7,-12
110,26,98,13
-40,-55,-52,-64
19,23,4,17
-68,-36,-80,-47
-14,-14,-29,-22
-9,10,-23,-3
-27,-19,-41,-33
63,-12,50,-22
