gdenergy_max,gdpuls_max,gdenergy_min,gdpuls_min,n_inliers_included,n_outliers_included,n_inliers,n_inliers_p0,n_inliers_p1,precision_vs_model,rules_agreement
-24,-9,-35,-20,16,0.0,614,614,614,0.74,0.7729
66,98,54,85,5,0.0,614,614,614,0.74,0.7729
-70,-64,-81,-73,20,0.0,614,614,614,0.74,0.7729
46,18,28,1,12,0.0,614,614,614,0.74,0.7729
17,-52,5,-60,6,0.0,614,614,614,0.74,0.7729
3,18,-11,9,9,0.0,614,614,614,0.74,0.7729
-42,-45,-52,-55,13,0.0,614,614,614,0.74,0.7729
102,43,86,19,10,0.0,614,614,614,0.74,0.7729
10,-38,-7,-45,9,0.0,614,614,614,0.74,0.7729
37,51,26,36,10,0.0,614,614,614,0.74,0.7729
-32,1,-44,-10,15,0.0,614,614,614,0.74,0.7729
-70,-50,-83,-62,15,0.0,614,614,614,0.74,0.7729
16,-8,0,-22,15,0.0,614,614,614,0.74,0.7729
81,-20,77,-20,2,0.0,614,614,614,0.74,0.7729
-11,47,-34,35,7,0.0,614,614,614,0.74,0.7729
-24,-69,-45,-79,7,0.0,614,614,614,0.74,0.7729
-37,-24,-50,-34,10,0.0,614,614,614,0.74,0.7729
95,78,83,65,5,0.0,614,614,614,0.74,0.7729
39,71,32,66,4,0.0,614,614,614,0.74,0.7729
-17,-35,-27,-49,10,0.0,614,614,614,0.74,0.7729
75,24,56,14,5,0.0,614,614,614,0.74,0.7729
-54,-24,-68,-35,11,0.0,614,614,614,0.74,0.7729
-7,-26,-21,-38,15,0.0,614,614,614,0.74,0.7729
-54,-65,-66,-75,8,0.0,614,614,614,0.74,0.7729
63,-10,37,-22,5,0.0,614,614,614,0.74,0.7729
-18,6,-27,-5,12,0.0,614,614,614,0.74,0.7729
65,61,49,49,7,0.0,614,614,614,0.74,0.7729
61,-38,44,-45,4,0.0,614,614,614,0.74,0.7729
12,53,-4,40,6,0.0,614,614,614,0.74,0.7729
15,35,4,16,10,0.0,614,614,614,0.74,0.7729
62,38,41,18,12,0.0,614,614,614,0.74,0.7729
-40,-56,-55,-64,13,0.0,614,614,614,0.74,0.7729
7,6,-6,-11,15,0.0,614,614,614,0.74,0.7729
-37,26,-58,5,9,0.0,614,614,614,0.74,0.7729
-48,0,-59,-13,5,0.0,614,614,614,0.74,0.7729
-52,-39,-63,-49,18,0.0,614,614,614,0.74,0.7729
27,10,9,-4,11,0.0,614,614,614,0.74,0.7729
87,15,67,-3,6,0.0,614,614,614,0.74,0.7729
-5,-7,-22,-20,10,0.0,614,614,614,0.74,0.7729
-24,-47,-35,-61,13,0.0,614,614,614,0.74,0.7729
-58,-51,-69,-64,20,0.0,614,614,614,0.74,0.7729
75,47,69,39,3,0.0,614,614,614,0.74,0.7729
33,32,28,20,5,0.0,614,614,614,0.74,0.7729
-39,-13,-52,-24,14,0.0,614,614,614,0.74,0.7729
18,-65,4,-75,5,0.0,614,614,614,0.74,0.7729
-79,-74,-86,-81,13,0.0,614,614,614,0.74,0.7729
-75,-24,-82,-36,4,0.0,614,614,614,0.74,0.7729
-3,-58,-23,-71,8,0.0,614,614,614,0.74,0.7729
-53,-82,-67,-92,6,0.0,614,614,614,0.74,0.7729
-10,58,-18,58,2,0.0,614,614,614,0.74,0.7729
-31,-35,-48,-46,17,0.0,614,614,614,0.74,0.7729
100,95,79,87,6,0.0,614,614,614,0.74,0.7729
-6,6,-15,-3,11,0.0,614,614,614,0.74,0.7729
-7,-74,-14,-85,4,0.0,614,614,614,0.74,0.7729
47,94,38,89,3,0.0,614,614,614,0.74,0.7729
7,-25,-3,-33,7,0.0,614,614,614,0.74,0.7729
-23,12,-36,2,12,0.0,614,614,614,0.74,0.7729
10,69,10,69,1,0.0,614,614,614,0.74,0.7729
0,30,-5,20,6,0.0,614,614,614,0.74,0.7729
30,-28,15,-32,3,0.0,614,614,614,0.74,0.7729
5,-44,-10,-58,12,0.0,614,614,614,0.74,0.7729
37,-50,21,-65,8,0.0,614,614,614,0.74,0.7729
76,74,62,67,4,0.0,614,614,614,0.74,0.7729
27,-38,14,-52,7,0.0,614,614,614,0.74,0.7729
-14,27,-31,15,5,0.0,614,614,614,0.74,0.7729
27,82,22,74,2,0.0,614,614,614,0.74,0.7729
-23,-22,-36,-36,16,0.0,614,614,614,0.74,0.7729
-65,-37,-80,-47,10,0.0,614,614,614,0.74,0.7729
-82,-66,-88,-75,9,0.0,614,614,614,0.74,0.7729
-65,-74,-76,-85,16,0.0,614,614,614,0.74,0.7729
