gdenergy_max,gdpuls_max,gdenergy_min,gdpuls_min,n_inliers_included,n_outliers_included,n_outliers_p1,n_outliers_p0,n_outliers,precision_vs_model,rules_agreement
44,97,44,97,0.0,1,69,69,69,0.89,0.995
-71,-92,-72,-92,0.0,2,69,69,69,0.89,0.995
214,190,214,190,0.0,1,69,69,69,0.89,0.995
97,-38,97,-38,0.0,1,69,69,69,0.89,0.995
123,121,123,121,0.0,1,69,69,69,0.89,0.995
214,40,207,38,0.0,2,69,69,69,0.89,0.995
-77,67,-77,67,0.0,1,69,69,69,0.89,0.995
60,-68,55,-68,0.0,2,69,69,69,0.89,0.995
169,251,169,251,0.0,1,69,69,69,0.89,0.995
262,-65,262,-65,0.0,1,69,69,69,0.89,0.995
130,56,130,56,0.0,1,69,69,69,0.89,0.995
270,278,270,278,0.0,1,69,69,69,0.89,0.995
279,91,279,91,0.0,1,69,69,69,0.89,0.995
-85,-84,-87,-90,0.0,5,69,69,69,0.89,0.995
287,195,287,195,0.0,1,69,69,69,0.89,0.995
121,234,121,234,0.0,1,69,69,69,0.89,0.995
57,148,57,148,0.0,1,69,69,69,0.89,0.995
218,248,218,248,0.0,1,69,69,69,0.89,0.995
-49,36,-49,36,0.0,1,69,69,69,0.89,0.995
89,136,89,136,0.0,1,69,69,69,0.89,0.995
176,90,176,90,0.0,1,69,69,69,0.89,0.995
32,90,26,85,0.0,2,69,69,69,0.89,0.995
223,218,223,218,0.0,1,69,69,69,0.89,0.995
15,-82,15,-82,0.0,1,69,69,69,0.89,0.995
101,0,101,0,0.0,1,69,69,69,0.89,0.995
126,91,126,91,0.0,1,69,69,69,0.89,0.995
136,209,136,209,0.0,1,69,69,69,0.89,0.995
73,-52,73,-52,0.0,1,69,69,69,0.89,0.995
0,88,0,88,0.0,1,69,69,69,0.89,0.995
123,33,123,33,0.0,1,69,69,69,0.89,0.995
-68,15,-68,15,0.0,1,69,69,69,0.89,0.995
180,226,180,226,0.0,1,69,69,69,0.89,0.995
-87,-76,-89,-82,0.0,5,69,69,69,0.89,0.995
66,104,66,104,0.0,1,69,69,69,0.89,0.995
227,202,223,195,0.0,2,69,69,69,0.89,0.995
95,-60,95,-60,0.0,1,69,69,69,0.89,0.995
73,-35,73,-35,0.0,1,69,69,69,0.89,0.995
193,30,193,30,0.0,1,69,69,69,0.89,0.995
91,151,91,151,0.0,1,69,69,69,0.89,0.995
151,59,151,59,0.0,1,69,69,69,0.89,0.995
96,-18,96,-18,0.0,1,69,69,69,0.89,0.995
112,122,112,117,0.0,2,69,69,69,0.89,0.995
33,104,33,104,0.0,1,69,69,69,0.89,0.995
-92,-82,-94,-85,0.0,3,69,69,69,0.89,0.995
18,94,18,94,0.0,1,69,69,69,0.89,0.995
-81,-82,-84,-86,0.0,3,69,69,69,0.89,0.995
-94,-73,-94,-73,0.0,1,69,69,69,0.89,0.995
-62,-95,-62,-95,0.0,1,69,69,69,0.89,0.995
-91,-87,-96,-91,0.0,3,69,69,69,0.89,0.995
