gdenergy_max,gdpuls_max,gdenergy_min,gdpuls_min
44,97,44,97
-71,-92,-72,-92
214,190,214,190
97,-38,97,-38
123,121,123,121
214,40,207,38
-77,67,-77,67
60,-68,55,-68
169,251,169,251
262,-65,262,-65
130,56,130,56
270,278,270,278
279,91,279,91
-85,-84,-87,-90
287,195,287,195
121,234,121,234
57,148,57,148
218,248,218,248
-49,36,-49,36
89,136,89,136
176,90,176,90
32,90,26,85
223,218,223,218
15,-82,15,-82
101,0,101,0
126,91,126,91
136,209,136,209
73,-52,73,-52
0,88,0,88
123,33,123,33
-68,15,-68,15
180,226,180,226
-87,-76,-89,-82
66,104,66,104
227,202,223,195
95,-60,95,-60
73,-35,73,-35
193,30,193,30
91,151,91,151
151,59,151,59
96,-18,96,-18
112,122,112,117
33,104,33,104
-92,-82,-94,-85
18,94,18,94
-81,-82,-84,-86
-94,-73,-94,-73
-62,-95,-62,-95
-91,-87,-96,-91
