rule,type,coef,support,importance
gdenergy,linear,0.00022431050885161246,1.0,0.012059182939536827
gdpuls,linear,0.0,1.0,0.0
gdenergy <= -87.5 & gdpuls <= -79.0,rule,0.0,0.01171875,0.0
gdenergy <= -87.5 & gdenergy > -90.5,rule,0.0,0.0078125,0.0
gdpuls > -81.5 & gdenergy <= 91.5 & gdpuls <= -27.5 & gdenergy > -85.0 & gdpuls <= 66.5 & gdenergy > 70.0 & gdpuls <= 101.0,rule,-3.8619243339238896,0.00390625,0.2408983832813179
gdpuls <= 99.5 & gdenergy > -93.5 & gdpuls > 91.0 & gdenergy <= 112.5,rule,0.0,0.01171875,0.0
gdpuls > -81.5 & gdpuls <= 98.0 & gdenergy <= 113.0 & gdenergy > -91.0 & gdpuls > 81.5,rule,0.19319871200380556,0.03125,0.03361515323873279
gdenergy <= 72.5 & gdpuls > 91.0,rule,0.0,0.01171875,0.0
gdpuls > -81.5 & gdenergy <= 45.5 & gdpuls > 89.5,rule,0.0,0.0078125,0.0
gdpuls > -81.5 & gdenergy <= 99.5 & gdpuls <= 93.0 & gdenergy > -87.5,rule,0.0,0.90625,0.0
gdenergy <= 89.5 & gdenergy <= -87.5 & gdpuls <= 87.5,rule,0.0,0.01953125,0.0
gdpuls <= 96.0 & gdpuls > -85.5 & gdenergy <= 138.5,rule,0.023669220862129962,0.93359375,0.005893420209219464
gdpuls > 79.5 & gdenergy > 45.0,rule,0.05752061072047667,0.05859375,0.01350945017761232
gdenergy > 59.0 & gdpuls <= -17.0,rule,0.0,0.015625,0.0
gdpuls <= 6.0 & gdpuls > -91.5 & gdenergy > 94.5,rule,-0.13200781504639253,0.0078125,0.011622285339728344
gdpuls <= 81.5 & gdenergy <= 72.5 & gdenergy > -84.5,rule,-0.009553695705413229,0.85546875,0.003359343074251248
gdpuls <= 89.5 & gdenergy <= 54.5 & gdenergy > -85.5,rule,-0.0019530198511164346,0.83984375,0.0007162717959298807
gdenergy <= 97.5 & gdpuls > -81.5 & gdpuls <= 101.0,rule,0.0,0.921875,0.0
gdpuls <= 95.5 & gdenergy <= -90.5 & gdenergy <= 95.5,rule,0.0,0.00390625,0.0
gdpuls > -1.5 & gdenergy > 72.5,rule,0.0,0.05859375,0.0
gdenergy <= -85.5 & gdpuls <= 95.5,rule,0.0,0.0234375,0.0
gdenergy <= 89.5 & gdpuls <= -74.5 & gdenergy <= -86.5,rule,-1.5323259930423285,0.03515625,0.2822155468093203
gdpuls <= 99.5 & gdpuls > -91.0,rule,0.00773705263149194,0.9609375,0.0014990052000076047
