gdenergy_max,gdpuls_max,gdenergy_min,gdpuls_min,n_inliers_included,n_outliers_included,n_inliers,n_inliers_p0,n_inliers_p1
37,26,-59,-75,364,0.0,614,614,614
33,58,-34,-4,109,0.0,614,614,614
-42,-24,-82,-65,117,0.0,614,614,614
-7,-53,-51,-85,32,0.0,614,614,614
100,98,46,65,22,0.0,614,614,614
62,42,31,15,22,0.0,614,614,614
46,20,-2,-22,59,0.0,614,614,614
-65,-50,-83,-65,29,0.0,614,614,614
-45,-69,-59,-90,9,0.0,614,614,614
65,61,49,49,7,0.0,614,614,614
102,47,69,19,14,0.0,614,614,614
87,24,63,-3,10,0.0,614,614,614
61,-19,30,-45,9,0.0,614,614,614
81,-12,63,-20,3,0.0,614,614,614
-72,-65,-85,-78,34,0.0,614,614,614
-64,-71,-73,-81,15,0.0,614,614,614
-66,-85,-70,-92,3,0.0,614,614,614
37,51,26,49,5,0.0,614,614,614
-79,-75,-84,-81,9,0.0,614,614,614
39,71,32,66,4,0.0,614,614,614
-85,-74,-86,-77,3,0.0,614,614,614
-85,-72,-88,-74,5,0.0,614,614,614
38,90,38,90,1,0.0,614,614,614
27,82,10,69,3,0.0,614,614,614
