gdenergy_max,gdenergy_min,gdpuls_max,gdpuls_min,size_rules,n_inliers_included,n_outliers_included,n_inliers,n_inliers_p0,n_inliers_p1,n_outliers_p1,n_outliers_p0,n_outliers
inf,-inf,inf,-92.5,1,614,68,614,614,156,69,69,69
inf,-93.5,inf,-inf,1,614,65,614,614,156,69,69,69
inf,-93.0,inf,-inf,1,614,65,614,614,156,69,69,69
inf,-92.5,inf,-inf,1,614,64,614,614,156,69,69,69
inf,-inf,inf,-91.0,1,613,66,614,614,156,69,69,69
inf,-inf,inf,-91.5,1,613,66,614,614,156,69,69,69
inf,-inf,inf,-90.0,1,613,65,614,614,156,69,69,69
inf,-inf,inf,-90.5,1,613,65,614,614,156,69,69,69
inf,-93.0,inf,-89.5,2,612,60,614,614,156,69,69,69
inf,-87.0,inf,-inf,1,612,58,614,614,156,69,69,69
inf,-inf,inf,-88.0,1,612,62,614,614,156,69,69,69
inf,-87.5,inf,-inf,1,612,58,614,614,156,69,69,69
inf,-inf,96.0,-inf,1,613,49,614,614,156,69,69,69
inf,-86.5,inf,-inf,1,611,54,614,614,156,69,69,69
inf,-inf,inf,-81.0,1,605,49,614,614,156,69,69,69
inf,-inf,inf,-85.5,1,611,59,614,614,156,69,69,69
inf,-inf,92.5,-inf,1,610,48,614,614,156,69,69,69
inf,-83.5,inf,-inf,1,605,51,614,614,156,69,69,69
inf,-inf,96.0,-91.5,2,612,46,614,614,156,69,69,69
inf,-84.5,inf,-inf,1,606,52,614,614,156,69,69,69
inf,-inf,inf,-83.0,1,607,55,614,614,156,69,69,69
inf,-inf,81.0,-inf,1,599,42,614,614,156,69,69,69
inf,-inf,99.5,-91.0,2,613,47,614,614,156,69,69,69
111.5,-inf,inf,-inf,1,614,45,614,614,156,69,69,69
inf,-inf,99.0,-inf,1,614,50,614,614,156,69,69,69
inf,-inf,inf,-80.5,1,601,49,614,614,156,69,69,69
94.5,-inf,inf,-inf,1,605,41,614,614,156,69,69,69
inf,-87.0,inf,-81.0,2,603,45,614,614,156,69,69,69
inf,-inf,87.5,-89.5,2,600,37,614,614,156,69,69,69
104.5,-inf,inf,-inf,1,614,45,614,614,156,69,69,69
99.5,-inf,inf,-93.5,2,612,43,614,614,156,69,69,69
106.0,-inf,inf,-inf,1,614,45,614,614,156,69,69,69
inf,-inf,88.5,-inf,2,605,44,614,614,156,69,69,69
inf,-inf,94.5,-inf,1,611,49,614,614,156,69,69,69
107.0,-inf,inf,-inf,1,614,45,614,614,156,69,69,69
100.0,-inf,inf,-91.5,2,612,41,614,614,156,69,69,69
inf,-inf,93.0,-inf,1,610,48,614,614,156,69,69,69
inf,-inf,89.5,-inf,1,607,44,614,614,156,69,69,69
inf,-inf,inf,-78.5,1,595,48,614,614,156,69,69,69
107.0,-87.5,inf,-inf,2,612,34,614,614,156,69,69,69
inf,-inf,92.0,-inf,1,610,48,614,614,156,69,69,69
