gdenergy_max,gdenergy_min,gdpuls_max,gdpuls_min,size_rules,n_inliers_included,n_outliers_included,n_inliers,n_inliers_p0,n_inliers_p1
-21.201713308375922,-54.078463731395175,inf,-inf,1,171,1,614,614,300
17.763324230017265,-54.078463731395175,inf,-inf,1,340,3,614,614,300
17.763324230017265,-inf,12.090643836181108,-inf,2,437,24,614,614,300
inf,-inf,-27.030076082310195,-54.414580025254104,1,166,3,614,614,300
17.763324230017265,-inf,12.090643836181108,-inf,2,437,24,614,614,300
inf,-54.078463731395175,12.090643836181108,-27.030076082310195,2,166,2,614,614,300
inf,-54.078463731395175,12.090643836181108,-54.414580025254104,2,286,5,614,614,300
inf,-54.078463731395175,inf,-54.414580025254104,2,418,39,614,614,300
inf,-inf,12.090643836181108,-54.414580025254104,1,338,5,614,614,300
17.763324230017265,-inf,12.090643836181108,-54.414580025254104,2,300,0,614,614,300
inf,-54.078463731395175,inf,-54.414580025254104,2,418,39,614,614,300
inf,-inf,12.090643836181108,-27.030076082310195,1,172,2,614,614,300
17.763324230017265,-54.078463731395175,inf,-54.414580025254104,2,294,2,614,614,300
inf,-54.078463731395175,12.090643836181108,-inf,2,338,10,614,614,300
17.763324230017265,-inf,12.090643836181108,-54.414580025254104,2,300,0,614,614,300
17.763324230017265,-21.201713308375922,inf,-54.414580025254104,2,149,1,614,614,300
17.763324230017265,-21.201713308375922,inf,-inf,1,169,2,614,614,300
inf,-inf,12.090643836181108,-inf,1,481,33,614,614,300
17.763324230017265,-54.078463731395175,12.090643836181108,-inf,2,294,1,614,614,300
-21.201713308375922,-54.078463731395175,inf,-54.414580025254104,2,145,1,614,614,300
inf,-54.078463731395175,12.090643836181108,-27.030076082310195,2,166,2,614,614,300
17.763324230017265,-54.078463731395175,12.090643836181108,-inf,2,294,1,614,614,300
inf,-inf,inf,-inf,0,614,69,614,614,300
17.763324230017265,-inf,12.090643836181108,-27.030076082310195,2,146,0,614,614,300
17.763324230017265,-inf,inf,-inf,1,484,28,614,614,300
inf,-54.078463731395175,12.090643836181108,-54.414580025254104,2,286,5,614,614,300
17.763324230017265,-inf,inf,-54.414580025254104,2,347,4,614,614,300
