gdenergy_max,gdenergy_min,gdpuls_max,gdpuls_min,size_rules,n_inliers_included,n_outliers_included,n_inliers,n_inliers_p0,n_inliers_p1
54.5,-85.5,35.5,-81.5,8,498,0,597,597,597
94.5,26.5,96.0,35.5,8,47,0,597,597,597
94.5,54.5,35.5,-27.5,9,17,0,597,597,597
26.5,-36.0,55.5,35.5,10,10,0,597,597,597
107.0,94.5,96.0,9.5,6,8,0,597,597,597
54.5,-75.5,-81.5,-85.5,9,6,0,597,597,597
107.0,-69.0,-85.5,-93.5,5,4,0,597,597,597
67.0,54.5,-27.5,-47.0,10,2,0,597,597,597
26.5,-36.0,83.5,63.5,11,2,0,597,597,597
107.0,-85.5,101.0,97.5,6,1,0,597,597,597
-75.5,-82.5,-81.5,-83.0,11,1,0,597,597,597
-85.5,-inf,inf,-72.5,3,1,0,597,597,597
