gdenergy_max,gdenergy_min,gdpuls_max,gdpuls_min,size_rules,n_inliers_included,n_outliers_included,n_inliers,n_inliers_p0,n_inliers_p1
inf,-inf,inf,-81.0,1,594,49,605,605,0
inf,-86.0,39.0,-88.0,3,550,17,605,605,0
102.0,-86.0,61.0,-88.0,6,573,14,605,605,0
inf,-78.0,inf,-90.0,2,581,44,605,605,0
38.0,-86.0,61.0,-88.0,6,517,8,605,605,0
inf,-inf,39.0,-81.0,4,543,17,605,605,0
inf,-86.0,inf,-inf,1,603,54,605,605,0
inf,-86.0,89.0,-88.0,3,597,24,605,605,0
73.0,-86.0,89.0,-88.0,4,567,14,605,605,0
102.0,-86.0,39.0,-88.0,6,550,13,605,605,0
102.0,-86.0,98.0,-88.0,4,601,21,605,605,0
38.0,-86.0,inf,-inf,6,523,20,605,605,0
inf,-86.0,61.0,-88.0,5,573,21,605,605,0
73.0,-86.0,39.0,-88.0,6,532,10,605,605,0
102.0,-86.0,inf,-inf,3,603,30,605,605,0
38.0,-86.0,89.0,-88.0,5,521,11,605,605,0
inf,-78.0,inf,-90.0,3,581,44,605,605,0
inf,-inf,89.0,-81.0,2,590,24,605,605,0
inf,-78.0,inf,-90.0,3,581,44,605,605,0
102.0,-86.0,inf,-88.0,4,601,25,605,605,0
73.0,-86.0,inf,-inf,3,572,26,605,605,0
inf,-78.0,inf,-90.0,3,581,44,605,605,0
inf,-78.0,89.0,-90.0,4,577,19,605,605,0
38.0,-86.0,39.0,-88.0,6,500,7,605,605,0
inf,-78.0,inf,-90.0,2,581,44,605,605,0
38.0,-86.0,61.0,-88.0,4,517,8,605,605,0
102.0,-86.0,98.0,-88.0,5,601,21,605,605,0
73.0,-86.0,inf,-inf,5,572,26,605,605,0
inf,-86.0,inf,-88.0,3,601,49,605,605,0
inf,-86.0,inf,-88.0,3,601,49,605,605,0
102.0,-86.0,98.0,-88.0,5,601,21,605,605,0
inf,-inf,inf,-81.0,3,594,49,605,605,0
102.0,-86.0,61.0,-88.0,5,573,14,605,605,0
inf,-78.0,inf,-90.0,3,581,44,605,605,0
102.0,-86.0,98.0,-88.0,5,601,21,605,605,0
38.0,-86.0,inf,-88.0,5,521,15,605,605,0
73.0,-86.0,61.0,-88.0,5,552,11,605,605,0
inf,-inf,89.0,-81.0,4,590,24,605,605,0
102.0,-86.0,inf,-88.0,4,601,25,605,605,0
102.0,-86.0,inf,-inf,2,603,30,605,605,0
inf,-86.0,89.0,-88.0,4,597,24,605,605,0
inf,-86.0,89.0,-88.0,4,597,24,605,605,0
inf,-86.0,inf,-inf,1,603,54,605,605,0
inf,-inf,61.0,-81.0,4,566,21,605,605,0
102.0,-86.0,61.0,-88.0,5,573,14,605,605,0
73.0,-86.0,39.0,-88.0,6,532,10,605,605,0
102.0,-86.0,39.0,-88.0,5,550,13,605,605,0
73.0,-86.0,89.0,-88.0,5,567,14,605,605,0
73.0,-86.0,inf,-88.0,5,570,21,605,605,0
73.0,-86.0,inf,-88.0,5,570,21,605,605,0
inf,-inf,61.0,-81.0,5,566,21,605,605,0
inf,-78.0,inf,-inf,2,582,47,605,605,0
38.0,-86.0,inf,-88.0,5,521,15,605,605,0
inf,-inf,89.0,-81.0,3,590,24,605,605,0
inf,-inf,39.0,-81.0,2,543,17,605,605,0
38.0,-86.0,39.0,-88.0,6,500,7,605,605,0
inf,-86.0,39.0,-88.0,5,550,17,605,605,0
inf,-86.0,39.0,-88.0,5,550,17,605,605,0
102.0,-86.0,inf,-88.0,4,601,25,605,605,0
38.0,-86.0,inf,-inf,2,523,20,605,605,0
73.0,-86.0,98.0,-88.0,6,570,18,605,605,0
73.0,-86.0,61.0,-88.0,5,552,11,605,605,0
102.0,-86.0,inf,-88.0,3,601,25,605,605,0
73.0,-86.0,89.0,-88.0,5,567,14,605,605,0
inf,-78.0,89.0,-90.0,4,577,19,605,605,0
inf,-87.0,inf,-81.0,2,593,45,605,605,0
inf,-87.0,inf,-81.0,3,593,45,605,605,0
102.0,-86.0,inf,-81.0,4,592,21,605,605,0
inf,-inf,39.0,-81.0,4,543,17,605,605,0
73.0,-86.0,39.0,-88.0,6,532,10,605,605,0
73.0,-86.0,61.0,-88.0,6,552,11,605,605,0
73.0,-86.0,61.0,-88.0,6,552,11,605,605,0
inf,-inf,89.0,-81.0,3,590,24,605,605,0
inf,-86.0,61.0,-88.0,3,573,21,605,605,0
102.0,-86.0,39.0,-88.0,4,550,13,605,605,0
inf,-86.0,inf,-88.0,3,601,49,605,605,0
inf,-86.0,inf,-88.0,3,601,49,605,605,0
102.0,-86.0,inf,-81.0,4,592,21,605,605,0
