gdenergy_max,gdenergy_min,gdpuls_max,gdpuls_min,size_rules,n_inliers_included,n_outliers_included,n_inliers,n_inliers_p0,n_inliers_p1,rule_id,score,n_intersects,precision_vs_model,rules_agreement
54.5,-85.5,35.5,-81.5,8.0,498.0,0.0,597.0,597.0,597.0,0,1.0,0,1.0,1.0
94.5,26.5,96.0,35.5,8.0,47.0,0.0,597.0,597.0,597.0,1,1.0,0,1.0,1.0
94.5,54.5,35.5,-27.5,9.0,17.0,0.0,597.0,597.0,597.0,2,1.0,0,1.0,1.0
26.5,-36.0,55.5,35.5,10.0,10.0,0.0,597.0,597.0,597.0,3,1.0,0,1.0,1.0
107.0,94.5,96.0,9.5,6.0,8.0,0.0,597.0,597.0,597.0,4,1.0,0,1.0,1.0
54.5,-75.5,-81.5,-85.5,9.0,6.0,0.0,597.0,597.0,597.0,5,1.0,0,1.0,1.0
107.0,-69.0,-85.5,-93.5,5.0,4.0,0.0,597.0,597.0,597.0,6,1.0,0,1.0,1.0
67.0,54.5,-27.5,-47.0,10.0,2.0,0.0,597.0,597.0,597.0,7,1.0,0,1.0,1.0
26.5,-36.0,83.5,63.5,11.0,2.0,0.0,597.0,597.0,597.0,8,1.0,0,1.0,1.0
107.0,-85.5,101.0,97.5,6.0,1.0,0.0,597.0,597.0,597.0,9,1.0,0,1.0,1.0
-75.5,-82.5,-81.5,-83.0,11.0,1.0,0.0,597.0,597.0,597.0,10,1.0,0,1.0,1.0
-85.5,-inf,inf,-72.5,3.0,1.0,0.0,597.0,597.0,597.0,11,1.0,0,1.0,1.0
