gdenergy_max,gdenergy_min,gdpuls_max,gdpuls_min,size_rules,n_inliers_included,n_outliers_included,n_inliers,n_inliers_p0,n_inliers_p1,n_outliers_p1,n_outliers_p0,n_outliers,rule_id,score,n_intersects,precision_vs_model,rules_agreement
-67.5,-87.0,-4.5,-80.5,4.0,80.0,0.0,614.0,614.0,156.0,69.0,69.0,69.0,0,1.0,1,0.3,0.95
91.5,70.0,66.5,-27.5,7.0,15.0,0.0,614.0,614.0,156.0,69.0,69.0,69.0,1,1.0,0,0.3,0.95
0.5,-78.0,-77.5,-91.5,4.0,18.0,0.0,614.0,614.0,156.0,69.0,69.0,69.0,2,0.94,3,0.3,0.95
35.0,-36.0,62.5,32.5,5.0,25.0,0.0,614.0,614.0,156.0,69.0,69.0,69.0,3,1.0,0,0.3,0.95
67.0,31.5,-27.5,-51.0,5.0,5.0,0.0,614.0,614.0,156.0,69.0,69.0,69.0,4,1.0,0,0.3,0.95
4.0,-60.5,-81.5,-inf,4.0,6.0,0.0,614.0,614.0,156.0,69.0,69.0,69.0,5,1.0,2,0.3,0.95
111.5,91.5,inf,9.5,4.0,10.0,0.0,614.0,614.0,156.0,69.0,69.0,69.0,6,0.96,4,0.3,0.95
inf,61.5,101.0,93.0,3.0,2.0,0.0,614.0,614.0,156.0,69.0,69.0,69.0,7,1.0,4,0.3,0.95
49.0,32.5,93.5,64.0,6.0,5.0,0.0,614.0,614.0,156.0,69.0,69.0,69.0,8,1.0,0,0.3,0.95
105.5,55.0,101.0,96.0,5.0,1.0,0.0,614.0,614.0,156.0,69.0,69.0,69.0,9,0.89,4,0.3,0.95
inf,-67.5,-90.0,-93.5,3.0,2.0,0.0,614.0,614.0,156.0,69.0,69.0,69.0,10,1.0,2,0.3,0.95
111.5,101.5,inf,-27.5,5.0,1.0,0.0,614.0,614.0,156.0,69.0,69.0,69.0,11,0.92,4,0.3,0.95
116.0,101.5,99.0,-85.5,6.0,1.0,0.0,614.0,614.0,156.0,69.0,69.0,69.0,12,0.93,4,0.3,0.95
