gdenergy_max,gdenergy_min,gdpuls_max,gdpuls_min,size_rules,n_inliers_included,n_outliers_included,n_outliers_p1,n_outliers_p0,n_outliers
106.0,-83.5,inf,96.0,3,0,6,68,68,68
-41.5,-83.5,96.0,35.5,7,0,4,68,68,68
-83.5,-inf,-75.5,-inf,3,0,19,68,68,68
106.0,-64.5,-91.0,-inf,6,0,1,68,68,68
94.5,54.5,-47.0,-91.0,9,0,3,68,68,68
inf,106.0,inf,-inf,1,0,25,68,68,68
106.0,94.5,9.5,-91.0,6,0,4,68,68,68
-69.0,-83.5,-91.0,-inf,5,0,2,68,68,68
-82.5,-83.5,-79.5,-91.0,8,0,1,68,68,68
28.0,-41.5,96.0,87.0,9,0,2,68,68,68
-91.0,-inf,inf,-75.5,4,0,1,68,68,68
