gdenergy_max,gdenergy_min,gdpuls_max,gdpuls_min,size_rules,n_inliers_included,n_outliers_included,n_outliers_p1,n_outliers_p0,n_outliers
-81.0,-89.0,-80.0,-95.0,6,3,12,43,61,68
inf,110.0,inf,-78.0,3,0,24,43,61,68
-77.0,-inf,inf,-18.0,2,0,1,43,61,68
inf,110.0,102.0,-80.0,4,0,9,43,61,68
-86.0,-89.0,38.0,-95.0,6,3,9,43,61,68
-81.0,-89.0,-80.0,-95.0,6,3,12,43,61,68
inf,110.0,inf,-78.0,3,0,24,43,61,68
inf,110.0,38.0,-80.0,3,0,4,43,61,68
inf,110.0,38.0,-80.0,4,0,4,43,61,68
inf,110.0,inf,-inf,2,0,24,43,61,68
inf,110.0,inf,-inf,2,0,24,43,61,68
inf,110.0,59.0,-80.0,5,0,7,43,61,68
inf,110.0,102.0,-80.0,3,0,9,43,61,68
inf,110.0,inf,-inf,3,0,24,43,61,68
-68.0,-87.0,-85.0,-95.0,6,1,7,43,61,68
inf,110.0,59.0,-80.0,4,0,7,43,61,68
55.0,-49.0,inf,90.0,4,0,6,43,61,68
inf,73.0,inf,59.0,3,10,19,43,61,68
55.0,-49.0,inf,90.0,3,0,6,43,61,68
inf,-49.0,-95.0,-inf,2,0,0,43,61,68
-83.0,-89.0,-78.0,-95.0,6,0,12,43,61,68
inf,110.0,38.0,-80.0,5,0,4,43,61,68
inf,110.0,59.0,-80.0,4,0,7,43,61,68
-77.0,-inf,inf,-18.0,2,0,1,43,61,68
inf,110.0,inf,-inf,1,0,24,43,61,68
55.0,-49.0,inf,90.0,4,0,6,43,61,68
-77.0,-inf,inf,102.0,2,0,0,43,61,68
-77.0,-inf,inf,102.0,2,0,0,43,61,68
inf,110.0,59.0,-80.0,3,0,7,43,61,68
-77.0,-49.0,inf,-inf,2,0,0,43,61,68
inf,110.0,inf,-73.0,3,0,24,43,61,68
inf,110.0,38.0,-80.0,5,0,4,43,61,68
inf,110.0,38.0,-80.0,4,0,4,43,61,68
-83.0,-89.0,-78.0,-95.0,6,0,12,43,61,68
-81.0,-89.0,-80.0,-95.0,4,3,12,43,61,68
-77.0,-inf,inf,102.0,2,0,0,43,61,68
inf,-inf,-85.0,-95.0,2,7,12,43,61,68
inf,110.0,inf,-73.0,3,0,24,43,61,68
-86.0,-89.0,inf,-inf,6,3,9,43,61,68
inf,-inf,-85.0,-95.0,2,7,12,43,61,68
inf,-inf,-85.0,-95.0,4,7,12,43,61,68
inf,-inf,-85.0,-95.0,6,7,12,43,61,68
inf,-89.0,-85.0,-95.0,5,7,8,43,61,68
inf,-inf,inf,90.0,1,4,25,43,61,68
inf,38.0,inf,-inf,1,82,35,43,61,68
-77.0,-89.0,-78.0,-95.0,6,5,14,43,61,68
-77.0,-inf,inf,59.0,2,0,1,43,61,68
-77.0,-inf,inf,102.0,2,0,0,43,61,68
