gdenergy_max,gdenergy_min,gdpuls_max,gdpuls_min,size_rules,n_inliers_included,n_outliers_included,n_outliers_p1,n_outliers_p0,n_outliers,rule_id,score,n_intersects,precision_vs_model,rules_agreement
inf,107.0,inf,-inf,1.0,0.0,26.0,66.0,66.0,66.0,0,1.0,0,0.98,0.9771
-85.5,-inf,-72.5,-inf,3.0,0.0,14.0,66.0,66.0,66.0,1,1.0,0,0.98,0.9771
-69.0,-85.5,-85.5,-inf,4.0,0.0,5.0,66.0,66.0,66.0,2,1.0,0,0.98,0.9771
107.0,94.5,9.5,-85.5,6.0,0.0,3.0,66.0,66.0,66.0,3,1.0,0,0.98,0.9771
107.0,-85.5,inf,101.0,5.0,0.0,3.0,66.0,66.0,66.0,4,1.0,0,0.98,0.9771
94.5,54.5,-47.0,-85.5,8.0,0.0,3.0,66.0,66.0,66.0,5,1.0,0,0.98,0.9771
-36.0,-85.5,96.0,35.5,7.0,0.0,3.0,66.0,66.0,66.0,6,1.0,0,0.98,0.9771
26.5,-36.0,96.0,83.5,9.0,0.0,3.0,66.0,66.0,66.0,7,1.0,0,0.98,0.9771
107.0,-85.5,97.5,96.0,6.0,0.0,1.0,66.0,66.0,66.0,8,1.0,0,0.98,0.9771
26.5,-36.0,63.5,55.5,11.0,0.0,1.0,66.0,66.0,66.0,9,1.0,0,0.98,0.9771
-82.5,-85.5,-81.5,-83.0,11.0,0.0,1.0,66.0,66.0,66.0,10,1.0,0,0.98,0.9771
-75.5,-85.5,-83.0,-85.5,10.0,0.0,1.0,66.0,66.0,66.0,11,1.0,0,0.98,0.9771
107.0,-69.0,-93.5,-inf,5.0,0.0,1.0,66.0,66.0,66.0,12,1.0,0,0.98,0.9771
94.5,67.0,-27.5,-47.0,10.0,0.0,1.0,66.0,66.0,66.0,13,1.0,0,0.98,0.9771
